model,t/f,score,grammar,question
CHILDES,0,0.46209651231765747,prep,1
CHILD_TEXT,0,0.4410264194011688,prep,1
WIKI_TEXT,0,0.16558532416820526,prep,1
BERT,1,0.9858976602554321,prep,1
CHILDES,0,0.19880850613117218,prep,2
CHILD_TEXT,0,0.13992708921432495,prep,2
WIKI_TEXT,0,0.6602479219436646,prep,2
BERT,1,0.2536710798740387,prep,2
CHILDES,0,0.20598816871643066,prep,3
CHILD_TEXT,0,0.2921465039253235,prep,3
WIKI_TEXT,0,0.17539513111114502,prep,3
BERT,1,0.735055148601532,prep,3
CHILDES,0,0.5705304741859436,art,4
CHILD_TEXT,0,0.42461663484573364,art,4
WIKI_TEXT,1,0.5551663637161255,art,4
BERT,1,0.6036543846130371,art,4
CHILDES,0,0.13491801917552948,art,5
CHILD_TEXT,0,0.14721836149692535,art,5
WIKI_TEXT,1,0.184444859623909,art,5
BERT,1,0.44894224405288696,art,5
CHILDES,0,0.21365508437156677,art,6
CHILD_TEXT,1,0.7180315852165222,art,6
WIKI_TEXT,1,0.8667923212051392,art,6
BERT,1,0.9971029162406921,art,6
CHILDES,0,0.23501169681549072,quest,7
CHILD_TEXT,0,0.10750363022089005,quest,7
WIKI_TEXT,0,0.08844460546970367,quest,7
BERT,1,0.9999430179595947,quest,7
CHILDES,0,0.17129185795783997,quest,8
CHILD_TEXT,0,0.15503348410129547,quest,8
WIKI_TEXT,0,0.06564757972955704,quest,8
BERT,0,0.9934446811676025,quest,8
CHILDES,0,0.14258623123168945,quest,9
CHILD_TEXT,0,0.26476868987083435,quest,9
WIKI_TEXT,0,0.1652749627828598,quest,9
BERT,0,0.99544757604599,quest,9
CHILDES,0,0.01967017352581024,opps,10
CHILD_TEXT,0,0.02972516231238842,opps,10
WIKI_TEXT,0,0.5852536559104919,opps,10
BERT,1,0.5216301679611206,opps,10
CHILDES,0,0.022572016343474388,opps,11
CHILD_TEXT,0,0.043747056275606155,opps,11
WIKI_TEXT,0,0.6952512264251709,opps,11
BERT,0,0.15064549446105957,opps,11
CHILDES,0,0.02573803812265396,opps,12
CHILD_TEXT,0,0.01744328998029232,opps,12
WIKI_TEXT,0,0.02785594016313553,opps,12
BERT,1,0.4348571002483368,opps,12
CHILDES,0,0.06345459818840027,prov,13
CHILD_TEXT,0,0.32186487317085266,prov,13
WIKI_TEXT,0,0.06420501321554184,prov,13
BERT,1,0.9857796430587769,prov,13
CHILDES,0,0.06679610908031464,prov,14
CHILD_TEXT,0,0.031262777745723724,prov,14
WIKI_TEXT,0,0.025690941140055656,prov,14
BERT,0,0.057627223432064056,prov,14
CHILDES,0,0.03968818113207817,prov,15
CHILD_TEXT,0,0.028097957372665405,prov,15
WIKI_TEXT,0,0.6418270468711853,prov,15
BERT,0,0.11897457391023636,prov,15
